channel,subject,count,mean,std,min,25%,50%,75%,max
Fp1,BR2_0000210#01,2743040,-11.71,78.1,-4990.69,-25.14,-14.41,-3.13,5012.52
Fp2,BR2_0000210#01,2743040,27.06,79.43,-4990.33,10.47,24.61,39.64,5012.34
F3,BR2_0000210#01,2743040,-88.3,74.92,-4991.04,-93.51,-89.03,-84.92,5010.37
F4,BR2_0000210#01,2743040,-58.15,75.8,-4990.15,-67.91,-58.79,-49.12,5011.09
F7,BR2_0000210#01,2743040,-95.08,76.73,-4992.3,-104.78,-96.01,-87.24,5008.94
F8,BR2_0000210#01,2743040,-99.66,92.16,-4987.29,-120.17,-101.74,-82.77,5026.48
Fz,BR2_0000210#01,2743040,-101.48,75.02,-5003.75,-106.39,-102.45,-98.16,5009.48
C3,BR2_0000210#01,2743040,-137.62,75.67,-4989.08,-144.15,-138.24,-132.88,5013.23
C4,BR2_0000210#01,2743040,-24.25,80.39,-4977.44,-44.29,-26.58,-6.53,5024.33
Cz,BR2_0000210#01,2743040,-28.0,80.28,-5117.92,-35.34,-28.72,-21.92,5864.0
T3,BR2_0000210#01,2743040,-177.31,80.99,-4984.96,-188.89,-179.76,-169.38,5029.7
T4,BR2_0000210#01,2743040,-108.48,96.88,-5011.27,-131.8,-113.01,-90.11,5008.04
T5,BR2_0000210#01,2743040,-118.54,79.85,-5069.43,-128.58,-120.35,-111.58,5612.03
T6,BR2_0000210#01,2743040,-150.05,154.3,-4984.96,-172.78,-157.21,-140.03,5648.53
P3,BR2_0000210#01,2743040,-99.44,75.68,-4984.78,-106.21,-100.48,-94.76,5016.46
P4,BR2_0000210#01,2743040,-81.7,76.76,-4991.58,-92.07,-82.59,-72.57,5011.62
Pz,BR2_0000210#01,2743040,-104.22,75.14,-4995.16,-111.04,-105.14,-98.87,5008.76
O1,BR2_0000210#01,2743040,-108.92,99.35,-4991.4,-122.85,-112.83,-102.1,5011.8
O2,BR2_0000210#01,2743040,-119.02,132.59,-4993.55,-147.91,-128.4,-107.11,5097.34
Fp1,BR2_0000215#01,46762496,615.96,1262.91,-5864.0,521.57,759.77,871.08,5864.0
Fp2,BR2_0000215#01,46762496,5.44,1272.02,-5864.0,-218.78,205.89,320.96,5864.0
F3,BR2_0000215#01,46762496,517.6,1260.03,-5864.0,427.08,650.78,760.3,5864.0
F4,BR2_0000215#01,46762496,521.7,1257.99,-5864.0,433.35,649.71,764.06,5864.0
F7,BR2_0000215#01,46762496,521.1,1260.25,-5864.0,418.49,663.84,768.18,5864.0
F8,BR2_0000215#01,46762496,523.83,1260.68,-5864.0,431.56,657.94,768.89,5864.0
Fz,BR2_0000215#01,46762496,523.52,1256.3,-5864.0,427.62,659.55,770.86,5864.0
C3,BR2_0000215#01,46762496,568.61,1261.14,-5864.0,475.58,705.18,814.17,5864.0
C4,BR2_0000215#01,46762496,515.32,1258.91,-5864.0,429.77,649.35,756.01,5864.0
Cz,BR2_0000215#01,46762496,162.19,1242.14,-5864.0,114.62,235.6,335.28,5864.0
T3,BR2_0000215#01,46762496,531.71,1260.28,-5864.0,442.12,664.02,773.72,5864.0
T4,BR2_0000215#01,46762496,-44.37,1246.31,-5864.0,-148.98,77.22,186.92,5864.0
T5,BR2_0000215#01,46762496,-246.76,1249.79,-5864.0,-401.13,-85.99,-6.35,5864.0
T6,BR2_0000215#01,46762496,311.29,1252.9,-5864.0,261.01,409.19,513.34,5864.0
P3,BR2_0000215#01,46762496,464.72,1255.95,-5864.0,386.1,566.49,692.3,5864.0
P4,BR2_0000215#01,46762496,518.39,1258.66,-5864.0,430.13,649.35,755.29,5864.0
Pz,BR2_0000215#01,46762496,159.41,2061.51,-5864.0,-615.17,651.67,857.66,5864.0
O1,BR2_0000215#01,46762496,-630.51,1254.72,-5864.0,-899.17,-632.71,-325.79,5864.0
O2,BR2_0000215#01,46762496,-284.22,1245.44,-5864.0,-397.02,-244.9,-110.15,5864.0
Fp1,BR2_0000276#01,6130944,248.71,119.68,-5557.8,236.13,262.26,272.46,987.22
Fp2,BR2_0000276#01,6130944,200.18,100.0,-5551.36,192.83,204.46,215.2,740.8
F3,BR2_0000276#01,6130944,120.69,65.46,-5517.0,106.57,121.42,139.14,560.76
F4,BR2_0000276#01,6130944,-184.35,161.88,-5010.73,-303.78,-205.89,-79.55,5549.75
F7,BR2_0000276#01,6130944,21.27,94.98,-5010.73,-36.42,52.7,77.94,5534.36
F8,BR2_0000276#01,6130944,98.45,56.74,-5527.38,85.45,94.76,104.78,592.26
Fz,BR2_0000276#01,6130944,59.54,64.23,-5864.0,37.49,59.68,81.34,370.53
C3,BR2_0000276#01,6130944,-401.58,139.24,-5010.73,-449.27,-432.45,-411.33,5544.02
C4,BR2_0000276#01,6130944,10.67,35.64,-5010.73,-7.43,6.35,29.62,5532.57
Cz,BR2_0000276#01,6130944,75.61,75.94,-5531.68,55.03,85.27,105.32,401.13
T3,BR2_0000276#01,6130944,158.63,86.46,-5511.99,154.89,160.44,165.8,593.16
T4,BR2_0000276#01,6130944,58.65,37.48,-5513.24,48.77,59.32,72.03,602.82
T5,BR2_0000276#01,6130944,35.14,39.73,-5512.71,31.23,41.07,45.19,1464.86
T6,BR2_0000276#01,6130944,148.01,89.81,-5525.23,133.77,155.25,172.6,717.17
P3,BR2_0000276#01,6130944,105.43,64.16,-5864.0,101.02,107.11,111.4,478.98
P4,BR2_0000276#01,6130944,-399.66,140.76,-5864.0,-479.34,-400.78,-333.49,5590.91
Pz,BR2_0000276#01,6130944,-28.31,50.09,-5010.73,-58.43,-21.92,5.64,782.31
O1,BR2_0000276#01,6130944,-62.62,50.41,-5010.73,-67.38,-59.5,-54.67,5535.61
O2,BR2_0000276#01,6130944,539.94,178.18,-5571.76,545.02,548.95,551.64,1860.18
Fp1,BR2_0000385#01,1215488,6.9,11.2,-225.04,0.98,6.89,12.8,307.72
Fp2,BR2_0000385#01,1215488,2.47,13.25,-178.69,-4.74,2.06,9.57,351.74
F3,BR2_0000385#01,1215488,1.16,32.45,-1093.34,-4.92,1.34,7.07,1609.81
F4,BR2_0000385#01,1215488,1.81,36.35,-1615.72,-6.53,1.88,9.75,2113.76
F7,BR2_0000385#01,1215488,6.32,11.95,-284.63,0.63,6.35,12.08,294.65
F8,BR2_0000385#01,1215488,12.61,16.24,-514.59,4.56,12.8,20.67,488.64
Fz,BR2_0000385#01,1215488,-3.37,38.6,-2335.85,-9.22,-3.13,1.88,1941.07
C3,BR2_0000385#01,1215488,-9.35,18.6,-2049.16,-18.7,-10.11,-0.09,167.95
C4,BR2_0000385#01,1215488,21.15,14.86,-305.93,13.69,21.03,28.54,407.93
Cz,BR2_0000385#01,1215488,-20.24,18.69,-259.22,-31.41,-21.74,-10.11,321.68
T3,BR2_0000385#01,1215488,21.44,16.81,-259.58,12.08,21.92,31.41,241.32
T4,BR2_0000385#01,1215488,20.16,16.57,-352.46,10.47,20.31,29.8,481.13
T5,BR2_0000385#01,1215488,3.71,20.53,-189.78,-7.61,3.13,14.05,472.72
T6,BR2_0000385#01,1215488,4.89,31.4,-301.45,-7.43,4.03,15.3,908.84
P3,BR2_0000385#01,1215488,-0.41,45.61,-2615.56,-13.15,1.34,11.36,3265.17
P4,BR2_0000385#01,1215488,1.61,59.9,-4083.37,-11.36,2.77,13.51,3998.9
Pz,BR2_0000385#01,1215488,14.6,47.74,-3115.74,4.21,15.84,23.89,3155.47
O1,BR2_0000385#01,1215488,-51.86,59.96,-376.26,-67.2,-55.57,-41.79,2203.6
O2,BR2_0000385#01,1215488,17.51,28.06,-339.39,3.85,16.02,29.08,870.9
Fp1,BR2_0000386#01,23055104,36.47,23.56,-1173.16,22.82,38.03,50.2,764.6
Fp2,BR2_0000386#01,23055104,23.26,25.97,-1105.15,9.57,23.0,36.24,1844.43
F3,BR2_0000386#01,23055104,1.36,41.81,-4308.5,-3.49,1.34,6.0,4676.79
F4,BR2_0000386#01,23055104,1.86,51.79,-5466.89,-4.56,1.88,8.32,5677.7
F7,BR2_0000386#01,23055104,18.13,32.24,-1140.41,6.35,16.73,28.01,4177.14
F8,BR2_0000386#01,23055104,63.93,26.65,-1059.34,48.05,64.87,79.73,1048.42
Fz,BR2_0000386#01,23055104,3.34,55.92,-5601.29,-2.24,2.95,8.68,5665.0
C3,BR2_0000386#01,23055104,-42.04,16.51,-1244.56,-50.2,-42.5,-34.27,399.17
C4,BR2_0000386#01,23055104,28.84,32.26,-2024.46,12.44,26.93,43.76,2169.59
Cz,BR2_0000386#01,23055104,-12.8,39.64,-975.59,-26.75,-13.33,-0.63,2871.83
T3,BR2_0000386#01,23055104,59.26,32.76,-1153.83,41.25,58.97,76.33,1930.15
T4,BR2_0000386#01,23055104,49.24,31.29,-1071.69,33.38,48.41,64.34,3132.03
T5,BR2_0000386#01,23055104,34.8,40.47,-1049.32,14.23,33.38,53.42,2370.21
T6,BR2_0000386#01,23055104,60.76,35.84,-1013.71,39.46,61.11,81.34,1434.79
P3,BR2_0000386#01,23055104,0.29,52.31,-5150.5,-9.04,-0.27,9.57,5864.0
P4,BR2_0000386#01,23055104,1.83,89.02,-5864.0,-8.32,1.34,11.9,5864.0
Pz,BR2_0000386#01,23055104,16.32,63.35,-5838.05,8.32,16.02,24.07,5864.0
O1,BR2_0000386#01,23055104,9.91,56.74,-5640.84,-23.18,11.54,40.35,4819.96
O2,BR2_0000386#01,23055104,43.96,37.62,-1047.89,23.18,44.47,63.44,1792.17
Fp1,BR3_0000161#01,613632,6.89,531.53,-5851.47,7.43,22.1,35.52,5851.47
Fp2,BR3_0000161#01,613632,6.47,334.47,-5851.47,-18.88,-3.85,9.57,5851.47
F3,BR3_0000161#01,613632,-24.1,151.98,-5851.47,-32.12,-24.25,-15.48,5851.47
